match_id,city,venue,date,team1,team2,toss_winner,toss_decision,winner,player_of_match,season,month,day,match_result_type,toss_match_win,day_type
1,Hyderabad,RGI Stadium,2017-04-05,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field,Sunrisers Hyderabad,Yuvraj Singh,2017,4,5,Normal,No,Weekday
2,Pune,Maharashtra Cricket Association Stadium,2017-04-06,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,Field,Rising Pune Supergiant,Spd Smith,2017,4,6,Normal,Yes,Weekday
3,Rajkot,SCA Stadium,2017-04-07,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Ca Lynn,2017,4,7,Normal,Yes,Weekday
4,Indore,Holkar Stadium,2017-04-08,Punjab Kings,Rising Pune Supergiant,Punjab Kings,Field,Punjab Kings,Gj Maxwell,2017,4,8,Normal,Yes,Weekend
5,Bengaluru,M Chinnaswamy Stadium,2017-04-08,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,Bat,Royal Challengers Bengaluru,Km Jadhav,2017,4,8,Normal,Yes,Weekend
6,Hyderabad,RGI Stadium,2017-04-09,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,Rashid Khan,2017,4,9,Normal,Yes,Weekend
7,Mumbai,Wankhede Stadium,2017-04-09,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Field,Mumbai Indians,N Rana,2017,4,9,Normal,Yes,Weekend
8,Indore,Holkar Stadium,2017-04-10,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bat,Punjab Kings,Ar Patel,2017,4,10,Normal,No,Weekday
9,Pune,Maharashtra Cricket Association Stadium,2017-04-11,Rising Pune Supergiant,Delhi Capitals,Rising Pune Supergiant,Field,Delhi Capitals,Sv Samson,2017,4,11,Normal,No,Weekday
10,Mumbai,Wankhede Stadium,2017-04-12,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Field,Mumbai Indians,Jj Bumrah,2017,4,12,Normal,Yes,Weekday
11,Kolkata,Eden Gardens,2017-04-13,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Field,Kolkata Knight Riders,Sp Narine,2017,4,13,Normal,Yes,Weekday
12,Bengaluru,M Chinnaswamy Stadium,2017-04-14,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Ka Pollard,2017,4,14,Normal,Yes,Weekday
13,Rajkot,SCA Stadium,2017-04-14,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,Field,Gujarat Lions,Aj Tye,2017,4,14,Normal,Yes,Weekday
